Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b328a61f5ea0de4d19a3561f1dfe9552209bf5a32deb3653cab8f753b289c48a,2015-11,Surrey Police,Surrey Police,-0.459274,51.366088,On or near HIGHPOINT,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
39824b494bd2bab7d09db06390a880cb66c553b0606b4a50667a859b92bd13e2,2015-11,Surrey Police,Surrey Police,-0.465522,51.362672,On or near Further/Higher Educational Building,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
51e940a97a0fef0dab200f6de7a9a6e210a6a09af2bc2419a7b493bce9ea5f5e,2015-11,Surrey Police,Surrey Police,-0.457596,51.362163,On or near STATION APPROACH,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
bfa230aa263c22ca60576af457046ec2732775c77f186da7355ca8e44225ec8d,2015-11,Surrey Police,Surrey Police,-0.464724,51.365926,On or near BROOKLANDS LANE,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
cc54c828b3626a7fde464436d51d2d667e1e2a3b436db222f6b74c998cf3f981,2015-11,Surrey Police,Surrey Police,-0.456195,51.369654,On or near Sports/Recreation Area,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
3b4efe8270416230d61b50f524e4c851bb135c5a886e7724e6c395328d4bd008,2015-11,Surrey Police,Surrey Police,-0.376313,51.406756,On or near CHERRY ORCHARD ROAD,E01030331,Elmbridge 001B,Investigation complete; no suspect identified
f17d0b6d9cb5215968a264cafbc4ed552572f39a8b8901f63d136844618a4b76,2015-11,Surrey Police,Surrey Police,-0.360683,51.405162,On or near ADECROFT WAY,E01030333,Elmbridge 001D,Investigation complete; no suspect identified
5bf16df094d8c161b720bfc910770b5bb7f1b6fe709ef2ed655006cc69e3cef7,2015-11,Surrey Police,Surrey Police,-0.369326,51.404689,On or near MOLE ABBEY GARDENS,E01030332,Elmbridge 001C,Investigation complete; no suspect identified
52a38cb47614a547c0c16072bf7e11f6ed6e6af586716713b11cbafc0b9c9c2b,2015-11,Surrey Police,Surrey Police,-0.373644,51.398500,On or near DOWN STREET,E01030337,Elmbridge 003D,Investigation complete; no suspect identified
1890acd256075f10a4a470ce2ceddca7af697e55b5dc1c80daf0dee157876f01,2015-11,Surrey Police,Surrey Police,-0.369373,51.400949,On or near ANNE WAY,E01030337,Elmbridge 003D,Investigation complete; no suspect identified
