Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
08abc3d177e5e314ead83be664e57c8f9901113b8c94d69639f5aad68f9c02c3,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.496914,52.301235,On or near BRAMBLE WALK,E01033452,Forest Heath 005E,Investigation complete; no suspect identified
881036d2d7749a58d70f88770191355681f47f658061f09a4fb61cb2df400ee6,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.496914,52.301235,On or near BRAMBLE WALK,E01033452,Forest Heath 005E,Investigation complete; no suspect identified
763d1658d6cd8a861353f74ae245f58b61d14a30152108ff3e428aea0cad0739,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.949070,52.110802,On or near CROWCROFT ROAD,E01029911,Babergh 004F,Investigation complete; no suspect identified
099338ad873d0319cb37dac95a586c52dc96735e4b8e521417e537415bd3e121,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.202101,52.069066,On or near ST ANDREW'S CHURCH CLOSE,E01030207,Suffolk Coastal 009E,Investigation complete; no suspect identified
7e9c699ab84793acfe316222acdab54cab5c04da3471458bc0d68816001002e1,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.369843,52.262742,On or near ST WENDRED'S WAY,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
369e2a6f5c533c18a57be0bfed3515ccdca25522436c74b800988419015488c1,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.335043,51.973327,On or near LONGCROFT,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
f6f6f6775974ca07607fbbb53caee1c5ecd84b58a7ec9a6722fbb3fe3889aa3c,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.697869,52.411541,On or near Park/Open Space,E01030252,Waveney 012C,Investigation complete; no suspect identified
02df85becf7f289e24d6da65bbe98852b5a1a268b7b71a4fa78444457f96231f,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.296816,52.089630,On or near NEWNHAM AVENUE,E01030185,Suffolk Coastal 008B,Investigation complete; no suspect identified
7f587435d4ec813e91406518bb5eff012bd2c5af6f379b4bad078f735a2b357e,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.183175,52.050638,On or near STANLEY AVENUE,E01030005,Ipswich 008D,Investigation complete; no suspect identified
97c234e9cb253dd87d545f365dc5449ccc74d58e22cb7716f511cb6bf87dc107,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.726360,52.248937,On or near UNICORN PLACE,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
a2de72f7a72ff86b8724a1ae532f42d30c8a3661ac7f073f6510ec97e95b7cd3,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.404200,52.246850,On or near EXETER ROAD,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
d4648a8fcad4e78807e044af2396d53e4fb39c0e281566a4a05d45915c526a00,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.744853,52.469310,On or near GROSVENOR ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
e824c7813eab51f036a8cda148c13356a1b18c583908edc5b6574de9aa866b90,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.154448,52.055773,On or near OLD CATTLE MARKET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
962164cdd3239d2b9bd03051e5abb17b8a950fbd70b1d7f787a9c3c7681e8d8a,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.125870,52.084425,On or near Sports/Recreation Area,E01030035,Ipswich 001D,Investigation complete; no suspect identified
38cee38db3efdd7e2cd06db7564f2f74f45db8cd0180b60ba6470f2495839cdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.142500,52.074062,On or near WHARFEDALE ROAD,E01029977,Ipswich 002E,Investigation complete; no suspect identified
6e23eee0e42605f70c57d6283e6c33b48c137a023d90ba3d91fabadfeaffcf28,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.079859,52.031710,On or near ELM LANE,E01029879,Babergh 005C,Investigation complete; no suspect identified
3e365f426f17102df85dac86fbc1322a86651ce47aef5bf95b26b847949c8708,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
560ea22ce708e41f95deadf42214cf3608b8833d3b8fd928b5e936388a3a28e8,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.748828,52.479852,On or near LOVE ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
8d8b481b8b1c732640791a07f4defd1f206b256047de7bec6a3e956870591fba,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.336279,51.968606,On or near HAMILTON STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
d6d9773ae118f45c8721e0a1274d0e51308464fe9709b6894527e003539fc117,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.144778,52.038376,On or near TENBY ROAD,E01029971,Ipswich 012D,Investigation complete; no suspect identified
54f2fc6ad4ba5766ba0434ffad30f49d3fbad35170ec9eabb319d5ff4074d3d1,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.381114,52.115150,On or near WILLIAM CLOSE,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
eabdc9a447d67dadc827de6cf9fab0224be5f71cbbe9764ac9b46e8136b43896,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.173223,52.053488,On or near Supermarket,E01033123,Ipswich 011E,Investigation complete; no suspect identified
